"name","id","dedicatee","type","location","city","country","orientation","date","startdateearly","startdatelate","century","sex","dedicationday","deitytype","extant","source","meetings","note","vici.org","pleiades","dare","arachne","wikipedia","wikidata","longitude","latitude"
"Jupiter Patulaeius","1000063","Jupiter","temple","","Ostia","Italy","","-299-200","-299","-200","-3","M","","god","","","","","","","","","","","",""
"Jupiter Pompeii","1000064","Jupiter","temple","","Pompeii","Italy","","mid-2nd century BC","-175","-125","-2","M","","god","","","","","","","","","","",14.4845,40.7499
"Jupiter Sospita","1000065","Jupiter","temple","","","","","","","","","M","","god","","Stamper","","","","","","","","","",""
"Jupiter Stator","1000066","Jupiter","temple","Campus Martius","Rome","Italy","","-294","-294","","-3","M","27","god","","","senate","Tenative coordinates","","","","","","",12.488793,41.890487
"Jupiter Stator","1000067","Jupiter","temple","Circus Flaminius","Rome","Italy","208","-146","-146","","-2","M","","god","","","","","","","","","","",12.479021,41.892897
"Jupiter Tonans","1000068","Jupiter","temple","Capitoline Hill","Rome","Italy","","-22","-22","","-1","M","1","god","","","","","","","","","","","",""
"Jupiter Victor","1000069","Jupiter","temple","Quirinal Hill","Rome","Italy","","-295","-295","","-3","M","","god","","Blake","","","","","","","","","",""
"Jupiter/Baalshamin","1000070","Jupiter, Baalshamin","temple","","Kedesh","Israel","","","","","","M","","god","","","","","","","","","","",35.531175,33.112906
"Juturna","1000071","Juturna","temple","Campus Martius","Rome","Italy","90","-299-200","-299","-200","-3","F","11","god","","Ziolkowski","","Pleiades: Temple A","17946","967215409","","5864","","",12.476876,41.895664
"Juventas","1000072","Juventas","temple","Circus Maximus","Rome","Italy","","-193","-193","","-2","F","","concept","","","","","","","","","","","",""
"Lares","1000073","Lares","temple","in summa Sacra Via","Rome","Italy","","-292-219","-292","-219","-3","M","27","god","","","","","","","","","","","",""
"Lares Permarini","1000074","Lares Permarini","temple","Campus Martius","Rome","Italy","90","-179","-179","","-2","M","","god","","","","Pleiades: Temple D","17946","967215409","","6516","","",12.476957,41.894983
"Luna","1000075","Luna","temple","Aventine Hill","Rome","Italy","","-292-219","-292","-219","-3","F","31","nature","","","","","","","","","","","",""
"Mars","1000076","Mars","temple","Circus Flaminius","Rome","Italy","","-138","-138","","-2","M","","god","","","","","","","","","","","",""
"Mars","1000077","Mars","temple","North Via Appia","Rome","Italy","","-388","-388","","-4","M","1","god","","","","","","","","","","","",""
"Mars Ultor","1000078","Mars","temple","Forum of Augustus","Rome","Italy","233","-2","-2","","-1","M","","god","","Stamper","","","","","","5747","","",12.486944,41.894444
"Mater Matuta","1000079","Mater Matuta","temple","Forum Boarium","Rome","Italy","180","-368","-368","","-4","F","","god","","Stamper","","","","","","","","",12.480833,41.890556
"Matidia","1000080","Matidia","temple","","","","","119","119","","2","F","","family","","Stamper","","","","","","","","",12.478081,41.899964
"Mausoleum Romuli","1000081","","temple","","Rome","Italy","","","","","","M","","emperor","","","","DARE","","","23842","","","",12.5181785,41.8550631
"Mercury","1000082","Mercury","temple","Aventine Hill","Rome","Italy","","-495","-495","","-5","M","","god","","","","","","","","","","","",""
"Minerva","1000083","Minerva","temple","Aventine Hill","Rome","Italy","","-269-260","-269","-260","-3","F","","god","","","","Vici.org","","","","","","","",""
"Minerva Medica","1000084","Minerva","temple","Esquiline Hill","Rome","Italy","","-399-300","-399","-300","-4","F","","god","","","","Pleiades","7929","540898685","","","","Q1411575",12.511867,41.893845
"Minerva","1000085","Minerva","temple","Forum of Nerva","Rome","Italy","","","","","","F","","god","","Arachne","","","","","","8405","","",12.487089,41.893664
"Mithraeum Barberini","1000086","Mithras","mithraeum","","Rome","Italy","","","","","","","","","","","","DARE","","","45672","","","",12.4891,41.902964
"Mithraeum of Orazio Muti","1000087","Mithras","mithraeum","","Rome","Italy","","","","","","","","","","","","DARE","","","45673","","","",12.485662,41.89981
"Mithraeum of San Clemente","1000088","Mithras","mithraeum","","Rome","Italy","","","","","","","","","","","","Vici.org; DARE","23522","","45666","","","",12.497281,41.889675
"Mithraeum of Santa Prisca","1000089","Mithras","mithraeum","","Rome","Italy","","","","","","","","","","","","DARE","","","45667","","","",12.483655,41.883213
"Mithraeum of Santo Stefano Rotondo","1000090","Mithras","mithraeum","","Rome","Italy","","","","","","","","","","","","DARE","","","45669","","","",12.496744,41.884655
"Mithraeum of the Baths of Caracalla","1000091","Mithras","mithraeum","","Rome","Italy","","","","","","","","","","","","DARE","","","45668","","","",12.493118,41.879922
