id,name,dedicatee,type,location,modernplace,ancientplace,pleiadesplace,country,latitude,longitude,orientation,compass,vowed,date,startdateearly,startdatelate,century,enddate,preceded,succeeded,sex,dedicationday,deitytype,culture,style,extant,source,meetings,note,vici,pleiades,dare,arachne,livius,wikipedia,wikidata,digitalromanforum,digitalesforumromanum,trismegistos,ads,cona,topostext,url,checked,gs
"1000035",Temple of Hercules Victor,Hercules,temple,ad portam trigeminam,Rome,Rome,"423025",IT,41.8887057,12.4806393,"93",E,,"-142","-142",,"-2",,,,M,,hero,Roman,,yes,,,,"15006","825969667",,"10771",,Temple_of_Hercules_Victor,Q576929,,,,,,419125SHrc,,,
"1000036",Temple of Hercules Victor,Hercules,temple,,Tivoli,Tibur,"423081",IT,41.963553,12.792638,"246",SW,,-89-82,"-89","-82","-1",,,,M,,hero,Roman,,,Stamper,,,,,,,,,,,,,,,,,,
"1000037",Temple of Hercules Invictus (Victor),Hercules,temple,ad circum maximum,Rome,Rome,"423025",IT,,,,,-292-219,"-292","-219",,"-3",,,,M,August 13,hero,Roman,,,,,,,,,,,,,,,,,,,,,
"1000038",Temple of Honos and Virtus,"Honor, Virtue",temple,ad Portam Capenam,Rome,Rome,"423025",IT,,,,,"-222","-205","-205",,"-3",,,"1000154",F,July 17,concept,Roman,,,,senate,,,,,,,,,,,,,,,,,
"1000039",Temple,,temple,Il Torraccio,Rome,Rome,"423025",IT,41.994283,12.492366,,,,,,,,,,,,,,Roman,,,,,DARE,,"3467477","37165",,,,,,,,,,,,,
"1000040",Temple of Isis,Isis,temple,via Labicana,Rome,Rome,"423025",IT,41.890049,12.501237,,,,,,,,,,,F,,god,Roman,,,,,Pleiades,"19353",,,,,,Q16612725,,,,,,,,,
"1000041",Temple of Isis/Serapis,Isis/Serapis,temple,Campus Martius,Rome,Rome,"423025",IT,41.897221,12.479167,,,,,,,,,,,F,,god,Roman,,,Blake,,Pleiades,"17963",,,,,Temple_of_Isis_and_Serapis,Q2288275,,,,,,419125SIsS,,,
"1000042",Temple of Janus,Janus,temple,Forum Holitorium,Rome,Rome,"423025",IT,41.891289,12.479947,"71",E,"-260","-260","-240",,"-3",,,,M,August 17,god,Roman,,,,,,,,,"10761",,Temple_of_Janus_(Forum_Holitorium),Q3983253,,,,,,,,,
"1000043",Temple of Juno Curritis,Juno,temple,Campus Martius,Rome,Rome,"423025",IT,41.894862,12.476906,,,,-292-219,"-292","-219","-3",,,,F,October 7,god,Roman,,,Ziolkowski,,,,,,,,,,,,,,,,,,
"1000044",Temple of Juno Lucina,Juno,temple,Esquiline Hill,Rome,Rome,"423025",IT,,,,,,"-375","-375",,"-4",,,,F,March 1,god,Roman,,,Ziolkowski,,,,,,,,,,,,,,,,,,
