id,lat,long
"353263SAth - Samonian Athena sanct. (Lasithi)",35.3137,26.3108
"353329UMel - Melabron? (Cyprus)",35.303559,32.940978
"353332PLap - Lapethos (Cyprus)",35.357,33.198
"353333PKer - Keryneia (Cyprus)",35.337334,33.321417
"353333UPal - Palaia? (Cyprus)",34.734,33.368
"353338LAch - Achaion Akte cape (Cyprus)",35.443,33.963
"354235IMyl - Mylai (Chania)",35.385,23.479
"354240PKer - Keraia? (Chania)",35.4047,23.963
"354242LHip - Hippokoronion Mt. (Chania)",35.446,24.238
"354242UTan - Tanos (Chania)",35.4475,24.2005
"354243UAmp - Amphimala (Chania)",35.3641,24.2598
"354245URhi - Rhithymna (Rethymno)",35.3711,24.4729
"354246PAll - Allaria (Rethymno)",35.3764,24.5998
"354246UPan - Pantomatrion (Rethymno)",35.4184,24.6899
"354248UAst - Astale (Rethymno)",35.4124,24.7812
"354249PKyt - Kytaion (Rethymno)",35.4078,24.8784
"354250HPan - Panormos (Herakleion)",35.409,25.021
"354252IDia - Dia (Irakleio)",35.448,25.22
"354269PKas - Kasos island (Dodecanese)",35.404,26.938
"354329LKro - Krommyakon cape (Cyprus)",35.405278,32.920278
"354337UAph - Aphrodision (Cyprus)",35.401231,33.739331
"354337UMak - Makaria (Cyprus)",35.3621995,33.6572345
"355236PPha - Phalasarna (Chania)",35.511,23.569
"355236UMyk - Mykenai (Chania)",35.5112,23.6344
"355237UKis - Kisamos (Chania)",35.4953,23.6607
"355237UPol - Polyrrenia (Chania)",35.4579,23.6555
"355238UPer - Pergamos (Chania)",35.5311,23.7743
"355239IKoi - Koite (Chania)",35.537,23.931
"355240PKyd - Kydonia (Chania)",35.5158,24.0187
"355241LBer - Berekynthos Mt. (Chania)",35.466,24.094
"355241PApt - Aptera (Chania)",35.463,24.141
"355242LDre - Drepanon cape (Chania)",35.472,24.241
"355242PMin - Minoa (Chania)",35.506,24.175
"355242UKis - Kisamos Kalami (Chania)",35.4694,24.1509
"355265IPla - Platea? (Karpathos)",35.864,26.229
"355271PArk - Arkeseia (Karpathos)",35.476,27.109
"355358PLao - Laodikea (Syria)",35.52,35.7849
"356236IMes - Mese (Chania)",35.6107,23.5799
"356236LKim - Kimaros cape (Chania)",35.6284,23.5962
"356236UAgn - Agneion> (Chania)",35.5937,23.6038
"356271IKar - Karpathos (Dodecanese)",35.5833,27.1333
"356344PKar - Karpasia (Cyprus)",35.626206,34.369934
"357238SDik - Diktynnaion sanct. (Chania)",35.6636,23.7679
"358238IIou - Iousagoura? (Chania)",35.587,23.582
"358238LKor - Korykos cape (Chania)",35.608,23.603
"358238LPsa - Psakon cape (Chania)",35.691,23.737
"358238LTit - Tityros cape (Chania)",35.637,23.723
"358243LKis - Kisamon? cape (Chania)",35.599,24.123
"358272PBry - Brykous (Karpathos)",35.799,27.166
"358272SPos - Poseidon Porthmios (Karpathos)",35.82,27.22
"358343IKar - Karpasiai Inss. (Cyprus)",35.584,34.423
"358348IKle - Kleides Inss. (Cyprus)",35.706,34.603
"358348SAph - Aphrodite Akraia sanct. (Cyprus)",35.692703,34.586367
"358368PAeg - Aegaeae (Cilicia)",36.769,35.788
"359144IMel - Melita (Malta)",35.88,14.44
"359233IAig - Aigila (Antikythera)",35.8648,23.3081
