1328,,,,,,,,,,,,,,,,,,
"Name","a","b","c","city","country","lat","long","source","vici_id","note","pleiades","dare","arach","livius","wikipedia","wikidata","Archis","http"
"Vermutete Tempelanlage - Meckel",,,," Meckel","DE",49.888115,6.518048,"Vici.org",5720,"Vermutete Tempelanlage - Meckel -point imported from roscheiderhof.de",,,,,,,,
"Vermutete Tempelanlage - Röhl",,,," Röhl","DE",49.948616,6.576705,"Vici.org",5721,"Vermutete Tempelanlage - Röhl -point imported from roscheiderhof.de",,,,,,,,
"Vermutete Tempelbauten - Oberkail",,,," Oberkail","DE",50.032089,6.695539,"Vici.org",5722,"Vermutete Tempelbauten - Oberkail -point imported from roscheiderhof.de",,,,,,,,
"Vermuteter Tempel - Bengel",,,," Bengel","DE",50.040829,7.073928,"Vici.org",5723,"Vermuteter Tempel - Bengel -point imported from roscheiderhof.de",,,,,,,,
"Vermutetes römisches Heiligtum - Tempelhof",,,," Mülbach","DE",49.965935,6.390636,"Vici.org",5724,"Vermutetes römisches Heiligtum - Tempelhof -point imported from roscheiderhof.de",,,,,,,,
"Überreste eines Tempels - Grindelborn",,,," Mürlenbach","DE",50.141296,6.631656,"Vici.org",5725,"Überreste eines Tempels - Grindelborn -point imported from roscheiderhof.de",,,,,,,,
"Umgangstempel und Gräberbezirk - Newel",,,," Newel","DE",49.810493,6.60087,"Vici.org",6087,"Umgangstempel und Gräberbezirk - Newel -point imported from roscheiderhof.de",,,,,,,,
"Gallo-römischer Tempelbezirk Bierbach",,,," Homburg","DE",49.297417,7.2925,"Vici.org",6324,"Gallo-römischer Tempelbezirk Bierbach",,,,,,"Q1492512",,
"Mogelijke tempel te Gulpen",,,," Gulpen","NL",50.809025,5.887792,"Vici.org",6335,"Mogelijke tempel en brandgraven.",,,,,,,"monumentnummer:5535",
"Mogelijke tempel Tieflaarse straat",,,," Neerijnen","NL",51.844646,5.284038,"Vici.org",6336,"Mogelijke tempel- of villaterrein.",,,,,,,"monumentnummer:3733",
"Temple at Sanxay",,,," Sanxay","FR",46.496559,-0.024869,"Vici.org",6364,"Temple at Sanxay",,,,,,,,
"Tharros",,,," San Giovanni di Sinis","IT",39.873825,8.440263,"Vici.org",7846,"Tharros",,,,,,,,
"Baalbek Temple of Bacchus",,,," ","LB",34.006058,36.203983,"Vici.org",7852,"Baalbek Temple of Bacchus, one of the best preserved Roman temples in the world.",,,,,,"Q1991217",,
"Pantheon",,,," Roma","IT",41.89856,12.47685,"Vici.org",7853,"Pantheon Rome: Pantheon",,,,,,"Q99309",,
"Maison Carrée",,,," Nîmes","FR",43.838333,4.356111,"Vici.org",7858,"Het Maison Carrée, één van de best bewaarde Romeinse tempels",,39300,,"place=nemausus-nimes/nemausus-nimes-maison-carree ",,,,
"Rotunda of Galerius",,,," Thessaloniki","GR",40.633278,22.952789,"Vici.org",7868,"The cylindrical structure was built in 306 AD on the orders of the tetrarch Galerius",,,,,,,,
"Sufetula Capitoline Temples",,,," Subaytilah","TN",35.240704,9.119328,"Vici.org",7869,"Sufetula Capitoline Temples",,,,,,,,
"Temple of August at Pula",,,," Pula","HR",44.870277,13.841806,"Vici.org",7872,"Temple of August at Pula",,,,,,"Q770030",,
"Garni Temple",,,," Garni","AM",40.112289,44.730015,"Vici.org",7873,"Garni Temple, was most likely dedicated to the god Mihr - Mithreum",,,,,,"Q684072",,
"Dougga Capitol",,,," ","TN",36.422775,9.218208,"Vici.org",7877,"Dougga Capitol, temple dedicated to Jupiter",,,,,,"Q32378",,
"Capitoline Temple at Timgad",,,," Timgad","DZ",35.483482,6.466237,"Vici.org",7881,"Capitoline Temple at Timgad",,,,,,,,
"Side Temple of Apollo",,,," ","TR",36.764122,31.38653,"Vici.org",7887,"Side Temple of Apollo",,,,,,,,
"Temple in Glanum",,,," Saint-Rémy-de-Provence","FR",43.773125,4.832713,"Vici.org",7903,"Temple in Glanum",,,,"place=glanum",,,,
"Gabii, Temple of Juno",,,," ","IT",41.887016,12.71593,"Vici.org",7912,"Temple of Juno, the most conspicuous ruin remaining at the site of Gabii",,,,,,,,
"Templo di Minerva Medica",,,," Roma","IT",41.893845,12.511867,"Vici.org",7929,"Templo di Minerva Medica",,,,,,"Q1411575",,
"Tasciaca",,,," Pouillé","FR",47.324047,1.299076,"Vici.org",8017,"Le fanum de Pouillé (et un bassin attenant), sanctuaire probablement dédié à une divinité de l'eau.",138608,20524,,,,,,
"Temple of Apollo Klarios, Sagalossos",,,," ","TR",37.675629,30.517557,"Vici.org",8025,"Temple of Apollo Klarios, Sagalossos",,,,,,,,
"Temple of Hadrian and Antoninus Pius, Sagalassos",,,," ","TR",37.673515,30.51898,"Vici.org",8027,"Temple of Hadrian and Antoninus Pius, Sagalassos",,,,,,,,
"Gallo-Romeins tempelcomplex Tongeren",,,," Tongeren","BE",50.783756,5.459994,"Vici.org",8028,"Gallo-Romeins tempelcomplex Tongeren",,,,,,"Q4910752",,
"Temple of Diana, Mont-Fat, Dinant",,,," Dinant","BE",50.259926,4.915131,"Vici.org",8042,"In een zaal in de Grotte de Mont-Fat was mogelijk een temple gewijd aan Diana.",,,,,,,,
"Tempel Intarabus te Foy",,,," Bastogne","BE",50.044575,5.749019,"Vici.org",8058,"Tempel Intarabus te Foy",,,,,,,,
"Tempel Mulheim",,,," Dilsen-Stokkem","BE",51.005058,5.713491,"Vici.org",8068,"Tempel Mulheim",,,,,,,,
"Fanum Hofstade-Steenberg",,,," Aalst","BE",50.964062,4.024921,"Vici.org",8121,"Fanum Hofstade-Steenberg,  23x15m.",,,,,,,,
"Fluminimaggiore - Tempio di Antas",,,," ","IT",39.394028,8.500288,"Vici.org",8129,"Tempio di Antas",,,,,,,,
"Merkurtempel Koblenzer Stadtwald",,,," KO","DE",50.293213,7.570019,"Vici.org",8140,"Merkurtempel Koblenz",,,,,,,,
"Tempelbezirk Mars-Lenus",,,," Pommern","DE",50.17915,7.286287,"Vici.org",8141,"Tempelbezirk Mars/Lenus",,,,,,"Q1234219",,
"Heiligtum - Tempel",,,," Taunusstein","DE",50.191593,8.204134,"Vici.org",8144,"Heiligtum - Tempel",,,,,,,,
"Tempelanlage Augusta Raurica",,,," Augst","CH",47.531097,7.718781,,8170,"Tempelanlage Augusta Raurica",,,,,,,,
"Tempel Augusta Raurica",,,," Augst","CH",47.533016,7.720659,,8171,"Tempel Augusta Raurica",,,,,,,,
"Apollo-Grannus-Tempel (Faimingen)",,,," Lauingen","DE",48.561783,10.409117,"Vici.org",8179,"Apollo-Grannus-Tempel",,,,,,"Q618934",,
"Bergheiligtum auf dem Calmont",,,," Bremm","DE",50.109138,7.12365,"Vici.org",8182,"Bergheiligtum auf dem Calmont",,40734,,,,,,
"Quellheiligtum (Sudelfels)",,,," Wallerfangen","DE",49.336136,6.606687,"Vici.org",8203,"Quellheiligtum (Sudelfels)",,,,,,"Q1533630",,
"Tempelbezirk (Pesch)",,,," Bad Münstereifel","DE",50.533657,6.703,"Vici.org",8205,"Heidentempel",,,,,,"Q1408110",,
"Matronenheiligtum “Vor Hirschberg“",,,," Nettersheim","DE",50.502647,6.651904,"Vici.org",8206,"Matronenheiligtum",,,,,,,,
"Mithras Heiligtum (Halberg)",,,," Saarbrücken","DE",49.222488,7.02788,"Vici.org",8220,"Mithras Heiligtum (Halberg)",,,,,,,,
"Tempel (Rheinfelden (Baden))",,,," Rheinfelden (Baden)","DE",47.57542,7.761292,"Vici.org",8249,"Tempel (Rheinfelden (Baden))",,,,,,,,
"Kultbezirk (Sontheim)",,,," Sontheim an der Brenz","DE",48.548004,10.290641,"Vici.org",8264,"Kultbezirk (Sontheim)",,,,,,,,
"Mithraeum (Königsbrunn)",,,," Königsbrunn","DE",48.274055,10.87458,"Vici.org",8282,"Mithras Heiligtum",,,,,,,,
"Römisches Haus (Stuttgart)",,,," Stuttgart","DE",48.762733,9.101792,"Vici.org",8419,"Römisches Haus (Stuttgart)",,,,,,"Q1722809",,
"Dianatempel (Meßkirch)",,,," Meßkirch","DE",47.986389,9.053611,"Vici.org",8420,"Dianatempel (Meßkirch)",,,,,,,,
"Lapidarium (Steinheim - Murr)",,,," Steinheim an der Murr","DE",48.970776,9.286698,"Vici.org",8426,"Lapidarium (Steinheim / Murr)",,,,,,,,
"Römisches Quellheiligtum (Holsthum)",,,," Holsthum","DE",49.890659,6.442838,"Vici.org",8448,"Römisches Quellheiligtum (Holsthum)",,,,,,,,
"Karales, Tempio Punico Romano",,,," Cagliari","IT",39.222012,9.106047,"Vici.org",8476,"Tempio Punico Romano",,,,,,,,
"Tempio capitolino",,,," Brescia","IT",45.539787,10.225574,"Vici.org",8480,"Temple built by the emperor Vespasian in AD 73",,,,,,,,
"Bidoni, Tempio di Giove",,,," ","IT",40.121441,8.94209,"Vici.org",8492,"Bidoni, Tempio di Giove",,,,,,,,
"Orange, Roman Temple",,,," Orange","FR",44.135654,4.807766,"Vici.org",8511,"Orange, Roman Temple",,,,"place=arausio-orange",,,,
"Bergheiligtum auf dem Beinter Kopf",,,," Zell (Mosel)","DE",50.012611,7.178739,"Vici.org",9636,"Bergheiligtum auf dem Beinter Kopf",,,,,,,,
"Mithraeum Tienen",,,," Tienen","BE",50.806316,4.92399,"Vici.org",9814,"Mithraeum Tienen",,,,,,,,
"Lutetia, Temple of Mercury",,,," Paris","FR",48.843395,2.327117,"Vici.org",9849,"Lutetia - Temple of Mercury",,,,,,,,
