id,ancient_name,lat,long,name,pleiades,latlong,country,city
36938,Zeus Orkamaneites,38.714726,29.747816,Banaz,609588,"38.714726,29.747816",TR, 
36564,,32.03552,49.33415,Bard-i Nishande,912820,"32.03552,49.33415",IR, 
37090,,29.56797,52.653905,Barm-i Dilak,922623,"29.56797,52.653905",IR, Shiraz
15763,,49.13204,-0.47577,Baron-sur-Odon,69476,"49.13204,-0.47577",FR, Baron-sur-Odon
37158,Robigo,41.959271,12.447668,Barrington Atlas grid 43 B2,423024,"41.959271,12.447668",IT, Roma
37160,Sep. Geta,41.866599,12.505709,Barrington Atlas grid 43 C2,423065,"41.866599,12.505709",IT, Roma
36982,Apollo,37.81001,23.7737,Barrington Atlas grid 59 C3,579875,"37.81001,23.7737",GR, Vouliagmeni
21907,Bassai,37.429653,21.900415,Bassae,570148,"37.429653,21.900415",GR, 
37067,,36.549604,44.33331,Batas-Harir,874397,"36.549604,44.33331",IQ, Harir
20713,,50.0089234588,6.9788384839,Bausendorf,,"50.0089234588,6.9788384839",DE, Bausendorf
37068,,36.725062,43.405319,Bavian,874398,"36.725062,43.405319",IQ, 
12968,,45.1279546,3.9416692,Beaulieu,167670,"45.1279546,3.9416692",FR, Beaulieu
36604,,40.703576,33.965162,Beşdut,844876,"40.703576,33.965162",TR, 
20831,,49.7038854372,6.7050365893,"Beim Lindenkreuz, Gusterath",,"49.7038854372,6.7050365893",DE, Gusterath
15766,,43.1326626,1.0263209,Belbèze-en-Comminges,246231,"43.1326626,1.0263209",FR, Belbèze-en-Comminges
22783,,38.014624,27.472097,Belevi,599556,"38.014624,27.472097",TR, 
39564,,46.53293631,6.643835901,Belvédère du Signal,,"46.53293631,6.643835901",CH, Lausanne
20830,,50.0408269884,7.0739282218,Bengel,,"50.0408269884,7.0739282218",DE, Bengel
36946,,32.015024,10.781455,Beni Guedal,344311,"32.015024,10.781455",TN, 
40733,,50.012611,7.178739,"Bergheiligtum, Beinter Kopf",,"50.012611,7.178739",DE, Zell (Mosel)
